date,start and end times,title,description,website,map and location
"Tuesday, March 19, 2019","5:30 PM,7:30 PM",American Public Transportation Association Reception,,https://www.hillhappenings.com//list/2019/3/19/american-public-transportation-association-reception,http://maps.google.com?q=Rayburn HOB Cafeteria
"Wednesday, March 20, 2019","12:00 PM,1:15 PM",Primary Care Forum: The Impact of GME on Physician Maldistribution,"<p style=""white-space:pre-wrap;"">How can Graduate Medical Education (GME) help resolve the lack of providers in underserved communities? Join us for a discussion hosted by <a href=""https://www.graham-center.org/rgc/press-events/events/forums/impact-gme-physician-maldistribution.html"">The Robert Graham Center</a> exploring GME based solutions to primary care provider maldistribution. RSVP to <a href=""mailto:policy@aafp.org"">policy@aafp.org</a></p>",https://www.hillhappenings.com//list/2019/3/20/primary-care-forum-the-impact-of-gme-on-physician-maldistribution,http://maps.google.com?q=385 Russell Senate Office Building
"Wednesday, March 20, 2019","4:00 PM,6:00 PM",CRISP Social Work Day on the Hill Congressional Reception,,https://www.hillhappenings.com//list/2019/1/20/crisp-social-work-day-on-the-hill-congressional-reception,http://maps.google.com?q=2043 Rayburn House Office Building
"Thursday, March 21, 2019","12:00 PM,1:30 PM",The Hidden Epidemic of Autoimmune Disease,"<p style=""white-space:pre-wrap;"">Please RSVP to <a href=""mailto:LSimpson@aarda.org"">LSimpson@aarda.org</a></p>",https://www.hillhappenings.com//list/2019/3/21/the-hidden-epidemic-of-autoimmune-disease,http://maps.google.com?q=385 Russell Senate Office Building
"Thursday, March 21, 2019","5:00 PM,8:00 PM",Society of Health Policy Young Professionals,"<p style=""white-space:pre-wrap;"">The intense focus on healthcare in Congress has been keeping many of us busy, especially our friends who work on the Hill. To celebrate their hard work, SHPYP is hosting a happy hour near the Hill to make it easier for staffers to attend. Everyone is welcome -- including all Hill staff, SHPYP members, colleagues and friends. Appetizers and drink tickets will be provided (first come, first served). We hope to see you there!</p>",https://www.hillhappenings.com//list/2019/3/21/society-of-health-policy-young-professionals,"http://maps.google.com?q=1221 Van Street Southeast Washington, DC, 20003 United States"
"Thursday, March 21, 2019","5:30 PM,7:30 PM",Government Affairs Industry Network March Happy Hour,"<p style=""white-space:pre-wrap;"">Please join the <a href=""http://www.gaindc.org/"" target=""_blank"">Government Affairs Industry Network</a> (GAIN) at <a href=""https://missionnavyyard.com/"" target=""_blank"">Mission Navy Yard</a> for an evening of networking at our first Third Thursday Happy Hour of 2019. This event is a fantastic opportunity to network with government affairs professionals in all sectors of the industry while grabbing a drink and unwinding after a long workday. Space and drinks are limited. Admittance is first-come-first-serve: if you are unable to attend, please release your ticket so others can enjoy the evening. <br/></p>",https://www.hillhappenings.com//list/2019/3/21/government-affairs-industry-network-march-happy-hour,"http://maps.google.com?q=1221 Van Street Southeast Washington, DC, 20003 United States"
"Thursday, March 21, 2019","5:30 PM,7:30 PM",Roll Call's Spring Grad Fair,,https://www.hillhappenings.com//list/2019/3/21/roll-calls-spring-grad-fair,http://maps.google.com?q=2168 Rayburn House Office Building
"Thursday, March 21, 2019","6:00 PM,9:00 PM",LGBT Congressional Staff Association March Happy Hour,"<p style=""white-space:pre-wrap;"">Happy Recess! Please join LGBT CSA, Senate GLASS, and LC-GLOBE for happy hour on March 21st at 6pm. Enjoy the warm weather, margaritas, and nachos on us!</p>",https://www.hillhappenings.com//list/2019/3/21/lgbt-congressional-staff-association-march-happy-hour,"http://maps.google.com?q=919 U Street Northwest Washington, DC, 20001 United States"
"Thursday, March 21, 2019","6:30 PM,8:00 PM",Reestablishing Social Trust: Alienated America and its Restoration,"<p style=""white-space:pre-wrap;""><strong> </strong></p>",https://www.hillhappenings.com//list/2019/3/21/reestablishing-social-trust-alienated-america-and-its-restoration,"http://maps.google.com?q=227 Massachusetts Avenue Northeast Washington, DC, 20002 United States"
"Friday, March 22, 2019","12:00 PM,1:00 PM","Drones, Driverless Cars & AI: The legal challenges surrounding emerging tech","<p style=""white-space:pre-wrap;""><a href=""https://www.cvent.com/c/express/b51dee92-86eb-43b2-90e6-57c91630841d?previewToken=10e69de41b50f48430c7cd80866c8359""><strong>Admission is dependent on registration, RSVP here. </strong></a>From tech companies to automobile manufacturers, driverless cars are the next big thing. But who’s responsible when a driverless car is involved in an accident? Should it be the occupants of the vehicle or its owner? The car’s manufacturer or the software developer? A number of the companies working in this field have announced that they would accept responsibility because they all seem to anticipate fewer accidents. But will that change as the technology evolves? How will courts respond? And what role is there for legislative action? </p>",https://www.hillhappenings.com//list/2019/3/22/drones-driverless-cars-amp-ai-the-legal-challenges-surrounding-emerging-tech,http://maps.google.com?q=2237 Rayburn House Office Building
